url,date,homeTeam,homeScore,awayTeam,awayScore,Data Player?,Data Events?,Teams,ELO home,ELO away,H expected,A expected,Result H,G,ELO h new,ELO a new,Ca team h,Ca team a,Goal diff H,Speelronde H,Speelronde A,Punten H,Punten A,Cum P H,Cum P A,Rank H,Rank A
https://www.rbfa.be/nl/wedstrijd/6749425,9/03/2025,K.R.C. Waregem A,2,K. SV Rumbeke,4,0,0,K.R.C. Waregem A - K. SV Rumbeke,1581,1751,"0,27","0,73",0,"1,5",1568,1763,"-0,3441","0,3441",-2,24,24,0,3,39,67,4,1
https://www.rbfa.be/nl/wedstrijd/6749426,9/03/2025,Club Roeselare,4,K. WS Houthulst A,2,0,0,Club Roeselare - K. WS Houthulst A,1464,1420,"0,56","0,44",1,"1,5",1484,1400,"0,5497","-0,5497",2,24,24,3,0,26,20,10,15
https://www.rbfa.be/nl/wedstrijd/6749424,9/03/2025,K. SV Bredene A,0,Jong Male K.V.V.,5,0,0,K. SV Bredene A - Jong Male K.V.V.,1398,1401,"0,50","0,50",0,2,1368,1430,"-0,8476","0,8476",-5,24,24,0,3,24,25,13,12
https://www.rbfa.be/nl/wedstrijd/6749430,14/03/2025,S.V. Wevelgem City A,3,Club Roeselare,0,0,0,S.V. Wevelgem City A - Club Roeselare,1532,1484,"0,57","0,43",1,"1,75",1555,1461,"0,6212","-0,6212",3,25,25,3,0,39,26,5,11
https://www.rbfa.be/nl/wedstrijd/6749428,15/03/2025,K. WS Houthulst A,4,K.S.K. Oostnieuwkerke,2,0,0,K. WS Houthulst A - K.S.K. Oostnieuwkerke,1400,1322,"0,61","0,39",1,"1,5",1418,1305,"0,4918","-0,4918",2,25,25,3,0,23,18,15,16
https://www.rbfa.be/nl/wedstrijd/6749427,15/03/2025,K.F.C. Moen,2,K.R.C. Waregem A,2,0,0,K.F.C. Moen - K.R.C. Waregem A,1446,1568,"0,33","0,67","0,5",1,1451,1563,"0,1685","-0,1685",0,25,25,1,1,30,40,8,4
https://www.rbfa.be/nl/wedstrijd/6749429,15/03/2025,K. SV Rumbeke,1,K. Sassp. Boezinge A,0,0,0,K. SV Rumbeke - K. Sassp. Boezinge A,1763,1696,"0,59","0,41",1,1,1775,1684,"0,4053","-0,4053",1,25,25,3,0,70,57,1,2
https://www.rbfa.be/nl/wedstrijd/6749433,15/03/2025,FC Sp. Heestert A,1,Zwevegem Sport,2,0,0,FC Sp. Heestert A - Zwevegem Sport,1536,1581,"0,44","0,56",0,1,1523,1594,"-0,4365","0,4365",-1,25,25,0,3,38,48,6,3
https://www.rbfa.be/nl/wedstrijd/6749432,16/03/2025,K. FC Marke A,4,K. SV Bredene A,0,0,0,K. FC Marke A - K. SV Bredene A,1489,1368,"0,67","0,33",1,"1,875",1508,1349,"0,5275","-0,5275",4,25,25,3,0,33,24,7,14
https://www.rbfa.be/nl/wedstrijd/6749431,16/03/2025,K. VC Ardooie A,0,K. Exc. Zedelgem,1,0,0,K. VC Ardooie A - K. Exc. Zedelgem,1517,1418,"0,64","0,36",0,1,1498,1437,"-0,6385","0,6385",-1,25,25,0,3,29,26,9,11
https://www.rbfa.be/nl/wedstrijd/6749434,16/03/2025,Jong Male K.V.V.,0,K. FC Varsenare A,5,0,0,Jong Male K.V.V. - K. FC Varsenare A,1430,1448,"0,48","0,52",0,2,1402,1476,"-0,8123","0,8123",-5,25,25,0,3,25,29,13,9
https://www.rbfa.be/nl/wedstrijd/6749435,22/03/2025,Zwevegem Sport,1,K. SV Rumbeke,3,0,0,Zwevegem Sport - K. SV Rumbeke,1594,1775,"0,26","0,74",0,"1,5",1582,1787,"-0,3282","0,3282",-2,26,26,0,3,48,73,3,1
https://www.rbfa.be/nl/wedstrijd/6749436,22/03/2025,K. Sassp. Boezinge A,2,K.F.C. Moen,0,0,0,K. Sassp. Boezinge A - K.F.C. Moen,1684,1451,"0,79","0,21",1,"1,5",1694,1442,"0,2616","-0,2616",2,26,26,3,0,60,30,2,9
https://www.rbfa.be/nl/wedstrijd/6749437,22/03/2025,K.S.K. Oostnieuwkerke,1,K. FC Marke A,2,0,0,K.S.K. Oostnieuwkerke - K. FC Marke A,1305,1508,"0,24","0,76",0,1,1298,1515,"-0,2371","0,2371",-1,26,26,0,3,18,36,16,7
