Team,Speler,Selecties,Gestart,Ingevallen,Vervangen,Speelminuten,Goals,Penalties,Own Goals,Geel,Dubbelgeel,Rood,Clean sheets,Kapitein,Type,MVP p>20/90min,Goals/90min,Geel/90min,Selecties L5,Gestart L5,Ingevallen L5,Vervangen L5,Speelminuten L5,Goals L5,Penalties L5,Own goals L5,Geel L5,Dubbelgeel L5,Rood L5,Clean sheet L5,Kapitein L5,RAPM_per90,RAPM_off_per90,RAPM_def_per90,RAPM_SE_per90,RAPM_CI_low,RAPM_CI_high,RAPM_z,xPPM_per90,xPPM_SE,xPPM_CI_low,xPPM_CI_high,xPPM_z
K. FC Heist A,Diederiek Voordecker,23,14,8,10,1174,0,0,0,1,0,0,0,0,Speler,0.405,0.0,0.077,5,3,2,2,268,0,0,0,1,0,0,0,0,0.03,0.039,0.039,1.475,-2.861,2.922,0.02,-0.399,1.045,-2.447,1.648,-0.38
K. FC Heist A,George Jaden Dekempe,1,0,1,0,18,0,0,0,0,0,0,0,0,Speler,0.0,0.0,0.0,1,0,1,0,18,0,0,0,0,0,0,0,0,0.269,0.203,0.203,2.99,-5.592,6.129,0.09,0.078,1.912,-3.669,3.825,0.04
K. FC Heist A,Jan Claessens,16,11,5,7,955,6,0,0,0,0,0,0,0,Speler,0.461,0.565,0.0,1,0,1,0,4,0,0,0,0,0,0,0,0,-0.521,-0.225,-0.225,1.574,-3.606,2.564,-0.33,0.098,1.113,-2.085,2.28,0.09
K. FC Heist A,Jarne Vancompernolle,17,14,3,2,1340,4,0,0,1,0,0,0,0,Speler,0.553,0.269,0.067,5,5,0,1,406,0,0,0,0,0,0,0,0,-0.221,-0.009,-0.009,1.718,-3.588,3.145,-0.13,0.582,1.192,-1.755,2.918,0.49
K. FC Heist A,Jarno Boone,23,23,0,0,2052,0,0,0,2,0,1,0,4,Speler,0.461,0.0,0.088,4,4,0,0,360,0,0,0,0,0,0,0,1,-0.319,-0.15,-0.15,2.299,-4.824,4.186,-0.14,-0.889,1.531,-3.889,2.111,-0.58
K. FC Heist A,Jasper Sierens,11,0,0,0,0,0,0,0,0,0,0,0,0,Keeper,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
K. FC Heist A,Jochen Hollebeke,1,0,0,0,0,0,0,0,0,0,0,0,0,Keeper,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
K. FC Heist A,Julien Csepregi,15,5,9,5,504,3,0,0,1,0,0,0,0,Speler,0.621,0.536,0.179,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151,0.129,0.129,1.664,-3.11,3.412,0.09,-0.017,1.181,-2.332,2.298,-0.01
K. FC Heist A,Julien Vervaecke,10,2,7,2,204,0,0,0,1,0,0,0,0,Speler,0.133,0.0,0.441,5,2,3,2,194,0,0,0,1,0,0,0,0,0.296,0.272,0.272,2.193,-4.003,4.595,0.14,-0.612,1.5,-3.552,2.327,-0.41
K. FC Heist A,Lowie Vantorre,1,0,1,0,7,0,0,0,0,0,0,0,0,Speler,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.058,0.015,0.015,3.112,-6.159,6.042,-0.02,-0.03,1.968,-3.887,3.828,-0.02
K. FC Heist A,Merlot Maenhout,1,1,0,1,72,0,0,0,0,0,0,0,0,Speler,0.0,0.0,0.0,1,1,0,1,72,0,0,0,0,0,0,0,0,0.365,0.265,0.265,2.854,-5.228,5.959,0.13,0.173,1.837,-3.427,3.773,0.09
K. FC Heist A,Miguel De Block,25,25,0,0,2250,0,0,0,0,0,0,6,0,Keeper,0.46,0.0,0.0,5,5,0,0,450,0,0,0,0,0,0,1,0,-0.055,-0.043,-0.043,2.966,-5.868,5.757,-0.02,-0.079,1.859,-3.723,3.565,-0.04
K. FC Heist A,Miguel Roman Tabares Rivero,11,6,5,5,572,0,0,0,0,0,0,0,0,Speler,0.582,0.0,0.0,1,0,1,0,5,0,0,0,0,0,0,0,0,0.65,0.355,0.355,1.798,-2.874,4.175,0.36,-0.041,1.257,-2.505,2.423,-0.03
K. FC Heist A,Pär Eliane Vervalle,16,12,3,9,1083,7,0,0,5,0,0,0,0,Speler,0.667,0.582,0.416,1,0,0,0,0,0,0,0,0,0,0,0,0,2.192,1.262,1.262,1.604,-0.953,5.337,1.37,1.6,1.13,-0.614,3.815,1.42
K. FC Heist A,Quinten De Cock,21,16,4,7,1399,5,0,0,5,0,0,0,0,Speler,0.543,0.322,0.322,5,4,1,1,400,1,0,0,1,0,0,0,0,1.171,0.719,0.719,1.657,-2.077,4.419,0.71,0.58,1.159,-1.691,2.852,0.5
K. FC Heist A,Quirino Raes,9,7,2,4,588,3,0,0,1,0,0,0,0,Speler,0.53,0.459,0.153,4,4,0,3,307,1,0,0,1,0,0,0,0,0.736,0.579,0.579,1.892,-2.972,4.443,0.39,0.219,1.313,-2.354,2.792,0.17
K. FC Heist A,Rens Maene,10,9,1,2,790,1,0,0,1,0,0,0,9,Speler,0.458,0.114,0.114,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.198,-0.509,-0.509,1.848,-4.819,2.423,-0.65,-0.842,1.274,-3.339,1.654,-0.66
K. FC Heist A,Thibo Gies,21,18,3,4,1618,1,0,0,2,0,1,0,0,Speler,0.514,0.056,0.111,4,4,0,1,356,0,0,0,0,0,0,0,0,0.109,0.019,0.019,1.604,-3.035,3.253,0.07,-0.361,1.134,-2.583,1.861,-0.32
K. FC Heist A,Thomas Denys,24,21,3,7,1778,2,0,1,2,0,0,0,0,Speler,0.468,0.101,0.101,5,5,0,1,445,1,0,1,0,0,0,0,0,0.506,0.119,0.119,1.708,-2.842,3.853,0.3,0.519,1.197,-1.827,2.864,0.43
K. FC Heist A,Thomas Vuyts,19,13,6,5,1232,3,0,0,2,0,0,0,0,Speler,0.443,0.219,0.146,5,4,1,1,376,2,0,0,0,0,0,0,0,-0.274,-0.172,-0.172,1.601,-3.412,2.864,-0.17,0.16,1.124,-2.043,2.362,0.14
K. FC Heist A,Tibo Andries,22,22,0,2,1912,11,0,0,4,1,0,0,1,Speler,0.459,0.518,0.188,4,4,0,1,352,4,0,0,1,0,0,0,1,-0.064,0.269,0.269,1.885,-3.758,3.63,-0.03,0.983,1.295,-1.556,3.521,0.76
K. FC Heist A,Vuitton Neyts,8,4,4,4,344,1,0,0,0,0,0,0,0,Speler,0.664,0.262,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.242,0.242,1.922,-3.408,4.127,0.19,0.086,1.341,-2.542,2.714,0.06
K. FC Heist A,Yannick Broeders,1,0,1,0,7,0,0,0,0,0,0,0,0,Speler,0.0,0.0,0.0,1,0,1,0,7,0,0,0,0,0,0,0,0,0.159,0.142,0.142,3.115,-5.946,6.264,0.05,0.033,1.969,-3.825,3.892,0.02
K. FC Heist A,Yari Delporte,21,20,1,3,1775,1,0,0,8,1,1,0,11,Speler,0.502,0.051,0.406,3,3,0,0,269,0,0,0,1,0,1,0,3,0.764,0.512,0.512,1.871,-2.903,4.431,0.41,0.358,1.285,-2.161,2.877,0.28
K. FC Heist A,Yoni Delporte,24,24,0,1,2153,1,0,0,3,0,0,0,0,Speler,0.477,0.042,0.125,4,4,0,0,360,0,0,0,0,0,0,0,0,-0.76,-0.609,-0.609,2.751,-6.151,4.632,-0.28,-0.392,1.757,-3.835,3.051,-0.22
K. FC Marke A,Amaury Demuynck,22,17,5,5,1543,2,0,0,2,0,0,0,0,Speler,0.653,0.117,0.117,4,3,1,0,314,0,0,0,1,0,0,0,0,1.429,0.841,0.841,1.714,-1.931,4.789,0.83,1.971,1.19,-0.362,4.304,1.66
K. FC Marke A,Arne Naessens,22,19,3,6,1703,5,0,0,2,0,0,0,6,Speler,0.641,0.264,0.106,4,1,3,0,175,0,0,0,0,0,0,0,0,-0.537,-0.285,-0.285,1.641,-3.752,2.679,-0.33,-0.816,1.152,-3.074,1.441,-0.71
K. FC Marke A,Benjamin Bonte,19,9,7,3,828,1,1,0,2,0,0,0,0,Speler,0.499,0.109,0.217,4,1,2,1,93,0,0,0,0,0,0,0,0,0.185,0.232,0.232,1.668,-3.083,3.454,0.11,-0.823,1.169,-3.114,1.468,-0.7
K. FC Marke A,Bob Desmet,18,9,7,6,959,1,0,0,1,0,0,0,0,Speler,0.426,0.094,0.094,3,3,0,2,215,1,0,0,0,0,0,0,0,-0.886,-0.467,-0.467,1.687,-4.193,2.422,-0.52,-0.016,1.18,-2.33,2.298,-0.01
K. FC Marke A,Brecht Santy,1,0,1,0,20,0,0,0,1,0,0,0,0,Speler,0.0,0.0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.471,0.458,0.458,2.98,-5.37,6.311,0.16,0.338,1.908,-3.401,4.077,0.18
K. FC Marke A,Colin Degrande,17,5,0,0,450,0,0,0,0,0,0,0,0,Keeper,0.7,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.044,0.069,0.069,2.537,-4.929,5.016,0.02,0.211,1.633,-2.99,3.412,0.13
K. FC Marke A,Damien Kontogom,23,10,12,6,1041,3,0,0,4,0,0,0,0,Speler,0.502,0.259,0.346,4,1,3,1,128,1,0,0,0,0,0,0,0,1.664,1.133,1.133,1.482,-1.24,4.569,1.12,1.208,1.059,-0.868,3.284,1.14
K. FC Marke A,Emile Vanluchene,25,22,1,4,1897,1,0,1,3,1,0,0,0,Speler,0.578,0.047,0.142,5,4,1,2,315,0,0,1,1,0,0,0,0,-0.034,-0.0,-0.0,1.98,-3.914,3.846,-0.02,0.351,1.361,-2.316,3.019,0.26
K. FC Marke A,Gerben Neirijnck,22,15,6,10,1278,1,0,0,1,0,0,0,0,Speler,0.712,0.07,0.07,3,0,3,0,84,0,0,0,0,0,0,0,0,-0.576,-0.345,-0.345,1.613,-3.738,2.586,-0.36,0.404,1.136,-1.822,2.63,0.36
K. FC Marke A,Hannes Tieberghien,24,18,4,2,1655,0,0,0,0,0,0,0,20,Speler,0.571,0.0,0.0,5,5,0,0,450,0,0,0,0,0,0,0,5,-0.146,-0.088,-0.088,1.982,-4.03,3.739,-0.07,0.03,1.357,-2.63,2.689,0.02
K. FC Marke A,Jannis Bourgeois,26,15,9,5,1478,0,0,0,1,0,0,0,0,Speler,0.559,0.0,0.061,5,3,2,1,304,0,0,0,0,0,0,0,0,-0.356,-0.168,-0.168,1.844,-3.97,3.258,-0.19,-0.624,1.268,-3.109,1.86,-0.49
K. FC Marke A,Jarne Wullaert,26,24,0,9,2056,11,0,0,2,0,0,0,0,Speler,0.578,0.482,0.088,5,5,0,3,432,3,0,0,0,0,0,0,0,0.418,0.09,0.09,2.13,-3.758,4.594,0.2,-0.656,1.449,-3.496,2.184,-0.45
K. FC Marke A,Jelle Duthoo,26,26,0,10,2144,15,0,0,1,0,0,0,0,Speler,0.591,0.63,0.042,5,5,0,2,405,3,0,0,0,0,0,0,0,-0.129,-0.039,-0.039,2.039,-4.126,3.868,-0.06,0.322,1.397,-2.416,3.061,0.23
K. FC Marke A,Lander Denduyver,26,15,10,5,1364,0,0,0,0,0,0,0,0,Speler,0.539,0.0,0.0,5,5,0,1,406,0,0,0,0,0,0,0,0,-0.388,-0.095,-0.095,1.569,-3.463,2.686,-0.25,-1.295,1.101,-3.454,0.863,-1.18
K. FC Marke A,Lucas Coornaert,18,2,15,1,425,3,0,0,0,0,0,0,0,Speler,0.566,0.635,0.0,5,2,3,1,251,1,0,0,0,0,0,0,0,-0.168,-0.116,-0.116,1.724,-3.548,3.212,-0.1,-1.207,1.222,-3.601,1.188,-0.99
K. FC Marke A,Lucas Vantieghem,22,10,10,5,936,2,0,0,2,0,0,0,0,Speler,0.638,0.192,0.192,4,3,1,1,269,1,0,0,1,0,0,0,0,0.674,0.496,0.496,1.538,-2.34,3.688,0.44,1.192,1.094,-0.953,3.337,1.09
K. FC Marke A,Lukas Van Brussel,1,0,1,0,11,0,0,0,0,0,0,0,0,Speler,0.0,0.0,0.0,1,0,1,0,11,0,0,0,0,0,0,0,0,0.165,0.089,0.089,3.073,-5.859,6.189,0.05,0.165,1.949,-3.655,3.985,0.08
