date,homeTeam,awayTeam,homeScore,awayScore,elo_home_before,elo_away_before,expected_home,expected_away,result_home,result_away,G,elo_home_after,elo_away_after
04/10/2025,Zwevegem Sport,K. RC Bissegem,4,0,1527.18,1547.5,0.4708,0.5292,1.0,0.0,1.875,1556.95,1517.73
04/10/2025,S.V. Wevelgem City A,KFC Aalbeke Sport A,2,3,1535.69,1470.69,0.5925,0.4075,0.0,1.0,1.0,1517.92,1488.46
05/10/2025,FC Sp. Heestert A,K.R.C. Waregem A,2,1,1510.62,1537.12,0.4619,0.5381,1.0,0.0,1.0,1526.76,1520.97
05/10/2025,K.S.C. Wielsbeke,K. SV Moorsele A,2,1,1580.67,1460.59,0.6662,0.3338,1.0,0.0,1.0,1590.68,1450.58
05/10/2025,K. FC Heist A,K. SV Bredene A,3,1,1419.97,1372.26,0.5682,0.4318,1.0,0.0,1.625,1441.02,1351.21
05/10/2025,K. FC Marke A,K. Eendr. Wervik A,2,3,1526.13,1577.98,0.4259,0.5741,0.0,1.0,1.0,1513.35,1590.76
11/10/2025,K.S.C. Wielsbeke,K. Eendr. Wervik A,0,1,1590.68,1590.76,0.4999,0.5001,0.0,1.0,1.0,1575.69,1605.76
11/10/2025,FC Sp. Heestert A,K. FC Varsenare A,2,3,1526.76,1458.08,0.5976,0.4024,0.0,1.0,1.0,1508.84,1476.01
11/10/2025,S.V. Wevelgem City A,K. RC Bissegem,0,1,1517.92,1517.73,0.5003,0.4997,0.0,1.0,1.0,1502.91,1532.74
12/10/2025,K. SV Moorsele A,Club Roeselare,1,2,1450.58,1506.58,0.4201,0.5799,0.0,1.0,1.0,1437.98,1519.18
12/10/2025,K. VC Ardooie A,K. FC Marke A,2,1,1506.75,1513.35,0.4905,0.5095,1.0,0.0,1.0,1522.04,1498.06
12/10/2025,K. FC Heist A,K. WS Oudenburg,4,1,1441.02,1462.18,0.4696,0.5304,1.0,0.0,1.75,1468.87,1434.34
12/10/2025,K. SV Bredene A,Zwevegem Sport,0,8,1351.21,1556.95,0.2343,0.7657,0.0,1.0,2.375,1334.52,1573.64
12/10/2025,K.R.C. Waregem A,KFC Aalbeke Sport A,3,2,1520.97,1488.46,0.5467,0.4533,1.0,0.0,1.0,1534.57,1474.86
18/10/2025,K. FC Varsenare A,K. FC Heist A,2,1,1476.01,1468.87,0.5103,0.4897,1.0,0.0,1.0,1490.7,1454.17
18/10/2025,K. RC Bissegem,K.S.C. Wielsbeke,3,1,1532.74,1575.69,0.4385,0.5615,1.0,0.0,1.625,1560.11,1548.32
18/10/2025,K.R.C. Waregem A,S.V. Wevelgem City A,0,0,1534.57,1502.91,0.5454,0.4546,0.5,0.5,1.0,1533.21,1504.27
18/10/2025,K. Eendr. Wervik A,K. SV Bredene A,14,1,1605.76,1334.52,0.8266,0.1734,1.0,0.0,3.0,1621.37,1318.91
18/10/2025,Zwevegem Sport,FC Sp. Heestert A,0,4,1573.64,1508.84,0.5922,0.4078,0.0,1.0,1.875,1540.33,1542.15
19/10/2025,K. WS Oudenburg,K. FC Marke A,0,0,1434.34,1498.06,0.4093,0.5907,0.5,0.5,1.0,1437.06,1495.34
19/10/2025,Club Roeselare,K. VC Ardooie A,2,0,1519.18,1522.04,0.4959,0.5041,1.0,0.0,1.625,1543.76,1497.46
19/10/2025,KFC Aalbeke Sport A,K. SV Moorsele A,1,1,1474.86,1437.98,0.5529,0.4471,0.5,0.5,1.0,1473.27,1439.57
25/10/2025,Zwevegem Sport,Club Roeselare,1,0,1540.33,1543.76,0.4951,0.5049,1.0,0.0,1.0,1555.48,1528.61
26/10/2025,K. VC Ardooie A,K. Eendr. Wervik A,1,1,1497.46,1621.37,0.3289,0.6711,0.5,0.5,1.0,1502.6,1616.23
26/10/2025,K.S.C. Wielsbeke,K. SV Bredene A,11,0,1548.32,1318.91,0.7893,0.2107,1.0,0.0,2.75,1565.7,1301.52
26/10/2025,K. SV Moorsele A,K. RC Bissegem,2,2,1439.57,1560.11,0.3332,0.6668,0.5,0.5,1.0,1444.57,1555.11
26/10/2025,FC Sp. Heestert A,S.V. Wevelgem City A,2,4,1542.15,1504.27,0.5543,0.4457,0.0,1.0,1.625,1515.13,1531.29
26/10/2025,K. FC Marke A,KFC Aalbeke Sport A,3,1,1495.34,1473.27,0.5317,0.4683,1.0,0.0,1.625,1518.17,1450.44
26/10/2025,K. WS Oudenburg,K. FC Varsenare A,0,2,1437.06,1490.7,0.4234,0.5766,0.0,1.0,1.625,1416.42,1511.34
26/10/2025,K. FC Heist A,K.R.C. Waregem A,1,1,1454.17,1533.21,0.3882,0.6118,0.5,0.5,1.0,1457.53,1529.86
01/11/2025,K. FC Varsenare A,K. FC Marke A,2,2,1511.34,1518.17,0.4902,0.5098,0.5,0.5,1.0,1511.64,1517.88
01/11/2025,K.R.C. Waregem A,Zwevegem Sport,0,0,1529.86,1555.48,0.4632,0.5368,0.5,0.5,1.0,1530.96,1554.38
01/11/2025,K. SV Bredene A,FC Sp. Heestert A,0,1,1301.52,1515.13,0.2263,0.7737,0.0,1.0,1.0,1294.73,1521.91
01/11/2025,KFC Aalbeke Sport A,K.S.C. Wielsbeke,3,1,1450.44,1565.7,0.34,0.66,1.0,0.0,1.625,1482.62,1533.52
01/11/2025,K. Eendr. Wervik A,K. WS Oudenburg,4,2,1616.23,1416.42,0.7596,0.2404,1.0,0.0,1.625,1627.96,1404.7
01/11/2025,K. RC Bissegem,K. VC Ardooie A,2,3,1555.11,1502.6,0.575,0.425,0.0,1.0,1.0,1537.86,1519.85
02/11/2025,S.V. Wevelgem City A,K. SV Moorsele A,0,1,1531.29,1444.57,0.6223,0.3777,0.0,1.0,1.0,1512.63,1463.24
02/11/2025,Club Roeselare,K. FC Heist A,0,1,1528.61,1457.53,0.6009,0.3991,0.0,1.0,1.0,1510.58,1475.55
08/11/2025,K. Eendr. Wervik A,K. RC Bissegem,2,1,1627.96,1537.86,0.6268,0.3732,1.0,0.0,1.0,1639.15,1526.66
08/11/2025,Zwevegem Sport,K. FC Varsenare A,2,0,1554.38,1511.64,0.5612,0.4388,1.0,0.0,1.625,1575.77,1490.25
09/11/2025,K. VC Ardooie A,K.S.C. Wielsbeke,3,3,1519.85,1533.52,0.4803,0.5197,0.5,0.5,1.0,1520.44,1532.93
09/11/2025,K. FC Heist A,FC Sp. Heestert A,3,5,1475.55,1521.91,0.4337,0.5663,0.0,1.0,1.625,1454.41,1543.06
09/11/2025,K. FC Marke A,S.V. Wevelgem City A,1,0,1517.88,1512.63,0.5076,0.4924,1.0,0.0,1.0,1532.65,1497.85
09/11/2025,Club Roeselare,K. SV Bredene A,7,0,1510.58,1294.73,0.776,0.224,1.0,0.0,2.25,1525.7,1279.61
09/11/2025,K. WS Oudenburg,KFC Aalbeke Sport A,1,3,1404.7,1482.62,0.3897,0.6103,0.0,1.0,1.625,1385.7,1501.62
09/11/2025,K. SV Moorsele A,K.R.C. Waregem A,0,5,1463.24,1530.96,0.4038,0.5962,0.0,1.0,2.0,1439.01,1555.19
15/11/2025,FC Sp. Heestert A,K. FC Marke A,1,2,1543.06,1532.65,0.515,0.485,0.0,1.0,1.0,1527.61,1548.1
15/11/2025,S.V. Wevelgem City A,K. FC Varsenare A,6,2,1497.85,1490.25,0.5109,0.4891,1.0,0.0,1.875,1525.36,1462.74
15/11/2025,KFC Aalbeke Sport A,K. FC Heist A,3,2,1501.62,1454.41,0.5675,0.4325,1.0,0.0,1.0,1514.59,1441.44
16/11/2025,K.S.C. Wielsbeke,Zwevegem Sport,3,3,1532.93,1575.77,0.4387,0.5613,0.5,0.5,1.0,1534.77,1573.93
16/11/2025,K. RC Bissegem,K. WS Oudenburg,4,5,1526.66,1385.7,0.6924,0.3076,0.0,1.0,1.0,1505.89,1406.47
16/11/2025,K. SV Bredene A,K. VC Ardooie A,1,4,1279.61,1520.44,0.2,0.8,0.0,1.0,1.75,1269.11,1530.94
16/11/2025,K. SV Moorsele A,K. Eendr. Wervik A,1,1,1439.01,1639.15,0.2401,0.7599,0.5,0.5,1.0,1446.81,1631.35
16/11/2025,K.R.C. Waregem A,Club Roeselare,3,1,1555.19,1525.7,0.5423,0.4577,1.0,0.0,1.625,1577.5,1503.39
22/11/2025,K. Eendr. Wervik A,Zwevegem Sport,1,2,1631.35,1573.93,0.5819,0.4181,0.0,1.0,1.0,1613.9,1591.38
22/11/2025,K. SV Bredene A,K.R.C. Waregem A,0,2,1269.11,1577.5,0.1449,0.8551,0.0,1.0,1.625,1262.05,1584.56
22/11/2025,K. FC Varsenare A,KFC Aalbeke Sport A,3,2,1462.74,1514.59,0.4259,0.5741,1.0,0.0,1.0,1479.96,1497.37
23/11/2025,K. FC Heist A,K. SV Moorsele A,3,0,1441.44,1446.81,0.4923,0.5077,1.0,0.0,1.75,1468.09,1420.15
23/11/2025,K. WS Oudenburg,Club Roeselare,1,2,1406.47,1503.39,0.364,0.636,0.0,1.0,1.0,1395.55,1514.31
23/11/2025,K.S.C. Wielsbeke,S.V. Wevelgem City A,5,2,1534.77,1525.36,0.5135,0.4865,1.0,0.0,1.75,1560.31,1499.82
23/11/2025,K. VC Ardooie A,FC Sp. Heestert A,3,0,1530.94,1527.61,0.5048,0.4952,1.0,0.0,1.75,1556.94,1501.61
29/11/2025,Zwevegem Sport,K. VC Ardooie A,3,1,1591.38,1556.94,0.5494,0.4506,1.0,0.0,1.625,1613.35,1534.97
29/11/2025,FC Sp. Heestert A,K. Eendr. Wervik A,5,4,1501.61,1613.9,0.3438,0.6562,1.0,0.0,1.0,1521.29,1594.21
29/11/2025,KFC Aalbeke Sport A,K. SV Bredene A,8,0,1497.37,1262.05,0.7949,0.2051,1.0,0.0,2.375,1511.99,1247.44
29/11/2025,K. RC Bissegem,K. FC Varsenare A,2,0,1505.89,1479.96,0.5373,0.4627,1.0,0.0,1.625,1528.45,1457.4
30/11/2025,Club Roeselare,K. FC Marke A,0,3,1514.31,1548.1,0.4515,0.5485,0.0,1.0,1.75,1490.61,1571.8
